Designator,Mid X,Mid Y,Rotation,Layer
K_4,75.335,-72.2475,0.0,top
D_6,121.96,-72.7475,90.0,top
D_0,83.86,-48.935,90.0,top
K_0,75.335,-48.435,0.0,top
D_7,141.01,-73.1475,90.0,top
U1,156.1,-64.4,0.0,top
D1,76.9316,-53.1383,0.0,top
D2,95.8546,-53.0113,0.0,top
D3,114.9554,-52.9605,0.0,top
D4,134.1324,-53.0367,0.0,top
D5,76.8681,-76.8365,0.0,top
D6,95.9689,-76.8365,0.0,top
D7,114.9681,-76.8365,0.0,top
D8,134.0181,-76.8873,0.0,top
D9,76.9189,-100.7125,0.0,top
D10,95.9181,-100.6617,0.0,top
D11,114.9173,-100.7125,0.0,top
D12,134.0181,-100.7125,0.0,top
SW1,151.4,-96.8,0.0,top
D_14,147.5,-100.32,90.0,top
K_1,94.385,-48.435,0.0,top
D_3,141.01,-48.935,90.0,top
D_10,121.96,-96.56,90.0,top
K_5,94.385,-72.2475,0.0,top
D_4,83.86,-72.7475,90.0,top
D_8,83.86,-96.56,90.0,top
D_5,102.91,-72.7475,90.0,top
K_9,94.385,-96.06,0.0,top
K_8,75.335,-96.06,0.0,top
D_2,121.96,-48.935,90.0,top
D_1,102.91,-48.935,90.0,top
K_11,132.485,-96.06,0.0,top
K_6,113.435,-72.2475,0.0,top
K_10,113.435,-96.06,0.0,top
K_3,132.485,-48.435,0.0,top
D_9,102.91,-96.56,90.0,top
K_2,113.435,-48.435,0.0,top
D_11,141.01,-96.56,90.0,top
K_7,132.485,-72.2475,0.0,top
